name,lat,long,img,distance,url,props,eparhia,mitropolia,boss,type,founded
Задонский Рождество-Богородицкий мужской монастырь,52.392037390963,38.9187371706,/upload/iblock/406/6.JPG,384,/monastyri/monastery/zadonskiy-rozhdestvo-bogoroditskiy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': ''}",,,,,
Тихоновский Преображенский женский монастырь г. Задонска,52.440453,38.96238,/upload/iblock/aa1/002_2_.jpg,379,/monastyri/monastery/tikhonovskiy-preobrazhenskiy-zhenskiy-monastyr-g-zadonska/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1865'}",,,,,
Заиконоспасский ставропигиальный мужской монастырь,55.756465465998,37.620768309709,/upload/iblock/69d/monasterium.ru_00.jpg,1,/monastyri/monastery/zaikonospasskiy-stavropigialnyy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Ставропигиальные монастыри Русской Православной Церкви', 'founded': '1600'}",,,,,
Зачатьевский ставропигиальный женский монастырь,55.739673119695,37.599456007559,/upload/iblock/bc6/zachatyevsky1.jpg,3,/monastyri/monastery/zachatevskiy-stavropigialnyy-zhenskiy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Ставропигиальные монастыри Русской Православной Церкви', 'founded': '1360'}",,,,,
Злоцкий во имя вмч. Георгия Победоносца мужской монастырь  Кагульской и Комратской епархии,46.65716,28.915077,/upload/iblock/494/dsc00667.jpg,1178,/monastyri/monastery/zlotskiy-vo-imya-vmch-georgiya-pobedonostsa-muzhskoy-monastyr-kagulskoy-i-komratskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри Православной Церкви Молдовы', 'founded': '1941'}",,,,,
Свято-Знаменский Абалакский мужской монастырь,58.129402629673,68.590553099197,/upload/iblock/3b1/3b1d55b80c1a4a0551afac1a9b892b2b/DJI02015.jpg,1881,/monastyri/monastery/svyato-znamenskiy-abalakskiy-muzhskoy-monastyr/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1783'}",,,,,
Свято-Знаменский женский монастырь г. Гороховца,56.211890064172,42.675826476679,/upload/iblock/96d/96d867284f89b9c978439f565e711c03/7.jpg,319,/monastyri/monastery/svyato-znamenskiy-zhenskiy-monastyr-g-gorokhovtsa/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1598'}",,,,,
Знаменский женский монастырь Днепропетровской епархии,48.13058419306,35.741621851807,/upload/iblock/dff/s5q9kg12emal6wmonx3azqy7fw7enuab/05.jpg,858,/monastyri/monastery/znamenskiy-zhenskiy-monastyr-dnepropetrovskoy-eparkhii/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Монастыри УПЦ МП', 'founded': '1881'}",,,,,
Свято-Знаменский монастырь в г. Коврове,56.362891018191,41.318111801097,/upload/iblock/992/9924b39ed047dc5b373225ed609ba547/R8bJUfOIE6w.jpg,240,/monastyri/monastery/svyato-znamenskiy-monastyr-v-g-kovrove/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1899'}",,,,,
Знаменский мужской монастырь г. Курска ,51.72769655947,36.192528194771,/upload/iblock/091/09152fddfe35a3b0ffb106a1c2ce8766/ed7b17da6cf518a8c679fcad36d4a22c_XL.jpg,458,/monastyri/monastery/znamenskiy-muzhskoy-monastyr-g-kurska-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1613'}",,,,,
Знаменский скит Серафимо-Дивеевского монастыря,55.177661069389,43.192661870021,/upload/iblock/6fd/zn.jpg,358,/monastyri/monastery/znamenskiy-skit-serafimo-diveevskogo-monastyrya/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'скит епархиального монастыря', 'founded': ''}",,,,,
"Знаменский скит, подворье Успенского мужского монастыря г.Иваново",57.064095232536,40.704268587265,,240,/monastyri/monastery/znamenskiy-skit-podvore-uspenskogo-muzhskogo-monastyrya-g-ivanovo/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'подворье епархиального монастыря', 'founded': '1998'}",,,,,
Золотухинский женский монастырь во имя преподобного Алексия человека Божия ,52.077843772079,36.368984626984,/upload/iblock/3b6/3b6e840fd63c2f0b2680a9900955384c/d5b2b4dec95dad0b7d23564051dfea04_monasterium_2018_10_22_08.JPG,418,/monastyri/monastery/zolotukhinskiy-zhenskiy-monastyr-vo-imya-prepodobnogo-aleksiya-cheloveka-bozhiya-/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'Епархиальные монастыри Русской Православной Церкви', 'founded': '1997'}",,,,,
Зосимо-Ворбозомский скит Воскресенского Горицкого женского монастыря,59.488194884619,39.592816967443,/upload/iblock/ff4/ff406a3680bbed899fda2905c2aaf7a3/index_img.png,432,/monastyri/monastery/zosimo-vorbozomskiy-skit-voskresenskogo-goritskogo-zhenskogo-monastyrya/,"{'eparhia': None, 'mitropolia': None, 'boss': None, 'type': 'скит епархиального монастыря', 'founded': ''}",,,,,
